id,priority,pattern,signal_types,fit_tier,focus,buyer_phrase
lower-middle-market-ma,37,"\b(?:lower[- ]middle[- ]market|lower to middle market|low-to-mid market)\b.{0,100}\b(?:M&A|mergers? (?:and|&) acquisitions?|transactions?|investment bank)\b|\b(?:M&A|mergers? (?:and|&) acquisitions?|transactions?|investment bank)\b.{0,100}\b(?:lower[- ]middle[- ]market|lower to middle market|low-to-mid market)\b",*,core,lower-middle-market M&A,lower-middle-market owners considering a transaction
private-company-sale,37,"\b(?:private|privately held|family-owned|founder-owned)\b.{0,100}\b(?:sell[- ]side|sale|selling)\b|\b(?:sell[- ]side|sale|selling)\b.{0,100}\b(?:private|privately held|family-owned|founder-owned)\b",*,core,private-company sales,private-company owners considering a sale
wealth-adviser-transitions,38,"\bpartners? with wealth advisors?\b|\bsupport(?:ing|s)? advisors? by providing.{0,80}(?:valuation|readiness|investment banking)\b",*,secondary,business-owner transition support,wealth advisers supporting business-owner transitions
private-equity-acquisitions,38,"\bprivate equity firm.{0,100}(?:acquir(?:e|ing)|control equity investments?)\b|\bacquir(?:e|ing) middle-market companies\b",*,secondary,private equity acquisitions,owners considering a private equity partner
exit-planning-advisory,39,"\bbusiness owner planning\b|\bbusiness exit planning\b|\bexit planning services?\b",*,secondary,business and exit planning,owners planning growth or succession
ma-two-sided,39,"\bbuy-side\b.{0,60}\bsell-side\b|\bsell-side\b.{0,60}\bbuy-side\b",*,core,two-sided M&A advisory,owners or acquirers planning a transaction
business-buy-or-sell,39,"\bbuy(?:ing)?\s+or\s+sell(?:ing)?\b|\b(?:buyers?|acquirers?)\s+and\s+sellers?\b|\bsellers?\s+and\s+(?:buyers?|acquirers?)\b",*,core,business sale and acquisition advice,business owners and buyers considering a transaction
ma-sell-side,40,"\bsell[- ]side\b|\bselling .{0,30}\b(?:businesses|companies)\b|\b(?:sell|selling) (?:a|your|their) business\b|\bbusinesses for sale\b|\bbusiness sales?\b",*,core,sell-side M&A,owners considering a business sale
ma-buy-side,41,"\bbuy[- ]side\b|\bacquisition origination\b|\bstrategic acquirers?\b|\bidentify and complete strategic investments or acquisitions\b",*,core,buy-side M&A,acquirers looking for suitable businesses
capital-raising,42,"\bcapital rais(?:e|ing)\b|\bdebt (?:and|&) equity financing\b|\bequity financing\b|\bcapital structuring\b",*,secondary,capital raising,companies looking to raise capital
business-valuation,43,"\bbusiness valuations?\b|\bvaluation services?\b|\bmarket-based valuations?\b|\bopinions? of value\b",*,secondary,business valuation,business owners needing a valuation
automotive-dealership-brokerage,45,"\bautomotive dealership broker\b|\bdealership owners? considering a sale\b|\bvaluations? for auto groups?\b",*,core,automotive dealership brokerage,dealership owners considering a sale
business-brokerage,46,"\bbusiness brokers?\b|\bsold (?:our|a|the) .{0,40}\bbusiness\b|\bwhy use a broker\b|\bowners? considering a (?:business )?sale\b|\bbusiness brokerage\b",*,core,business brokerage,owners considering a business sale
investment-banking,47,"\binvestment bank(?:ing)?\b|\bcorporate finance\b|\bstrategic financial advisory\b",*,core,corporate finance advisory,companies considering financing or a transaction
ma-advisory,48,"\bM&A\b|\bmergers? (?:and|&) acquisitions?\b|\bprivate capital market\b",*,core,M&A advisory,business owners considering a transaction
business-growth,60,"\bcompanies? (?:connect|collaborate).{0,50}\bgrow\b|\bcompanies?.{0,50}\bgrow with confidence\b",*,exclude,business growth,companies looking to grow
owner-financial-guidance,70,"\bowners? make clearer financial decisions\b",*,exclude,financial guidance,business owners seeking financial guidance
premium-tequila,90,"\btequila\b",*,exclude,premium tequila,retailers and distributors sourcing tequila
private-market-funds,100,"\bprivate equity funds?\b|\bco-investments?\b|\bsmall-cap buyout\b|\bsecondaries\b",*,secondary,private market investments,investors seeking private market exposure
venture-private-equity,110,"\bventure capital and private equity\b|\bprivate equity firm\b|\bgrowth capital investments?\b",*,secondary,private equity investment,companies seeking an investment partner
outdoor-renovations,120,"\bdecks?\b|\bpergolas?\b|\bscreened porches?\b|\bsunrooms?\b",*,exclude,outdoor living projects,homeowners planning outdoor renovations
middle-market-financing,130,"\bfinancing (?:for|partner).{0,50}\b(?:lower )?middle market\b|\blower middle market.{0,50}\bfinancing\b",*,secondary,lower-middle-market financing,companies seeking flexible financing
exit-planning-software,140,"\bguide business owners?.{0,50}\bexits?\b|\bbusiness exit planning software\b",*,secondary,exit planning software,advisers supporting business owner exits
specialty-chemicals,150,"\bconcrete sealers?\b|\bwater softening\b|\bpool salts?\b|\bdeicers?\b",*,exclude,specialty chemical products,distributors sourcing specialty chemical products
event-rentals,160,"\bevent rentals?\b|\brentals? for special events?\b|\bparty rentals?\b",*,exclude,event rentals,event planners sourcing rental equipment
property-restoration,170,"\bwater damage\b|\bfire repair\b|\bmold removal\b|\bproperty mitigation\b",*,exclude,property restoration,property owners needing restoration
laboratory-equipment,190,"\bovens? and incubators?\b|\blaboratory ovens?\b|\blab incubators?\b",*,exclude,laboratory ovens and incubators,laboratories sourcing ovens or incubators
kitchen-bath-remodeling,200,"\bkitchen and (?:bath|bathroom) remodeling\b|\bkitchen (?:&|and) bath\b",*,exclude,kitchen and bathroom remodeling,homeowners planning a remodel
shower-doors,210,"\bglass shower doors?\b|\bcustom shower doors?\b",*,exclude,custom shower doors,homeowners planning bathroom renovations
flooring-remodeling,220,"\bflooring store\b|\bcommercial flooring\b|\bflooring and remodeling\b",*,exclude,flooring and remodeling,property owners planning renovations
commercial-construction,230,"\bgeneral contractor\b|\bcommercial construction\b",*,exclude,commercial construction,companies planning construction projects
precision-cutting-tools,250,"\bprecision cutting tools?\b|\bprecision machining and measuring tools?\b",*,exclude,precision cutting tools,manufacturers sourcing precision cutting tools
custom-cnc-parts,260,"\bCNC (?:machined )?parts?\b|\bcustom milled CNC\b|\bscrew machine .{0,20}\bparts?\b",*,exclude,custom CNC parts,manufacturers sourcing custom CNC parts
plant-based-distribution,270,"\bvegetarian products?\b|\bplant-based food wholesaler\b",*,exclude,plant-based food distribution,retailers sourcing plant-based products
commercial-printing,280,"\bprinting company\b|\bcommercial printing\b|\bcatalogs?.{0,30}\bdirect mail\b",*,exclude,commercial printing,companies needing print or direct mail
commercial-security,290,"\bsecurity systems?\b|\bfire alarms?\b|\bcard access\b|\baccess control\b",*,exclude,commercial security systems,businesses upgrading security or access control
witch-hazel-skincare,300,"\bwitch hazel\b|\bskincare.{0,30}\bfirst aid\b",*,exclude,witch hazel skincare,retailers sourcing personal care products
early-stage-investing,310,"\bearly[- ]stage investing\b|\bearly[- ]stage investment\b",*,exclude,early-stage investment,founders raising an early-stage round
commercial-washing,320,"\b(?:mobile|hot water|pressure) washing\b|\bwashing and disinfecting\b",*,exclude,commercial washing and disinfection,farms needing washing and disinfection
wealth-exit-planning,330,"\bwealth management\b|\bfinancial (?:and|&) retirement planning\b|\bwealth creation and preservation\b",*,secondary,wealth and exit planning,business owners needing wealth or exit planning
